# Port:              P003
# Site:              Hinkley Point
# Latitude:          51.21525
# Longitude:         -3.13433
# Start Date:        01JAN2019-00.00.00
# End Date:          31DEC2019-23.45.00
# Contributor:       National Oceanography Centre, Liverpool
# Datum information: The data refer to Admiralty Chart Datum (ACD)
# Parameter code:    ASLVTD01 = Surface elevation (unspecified datum) of the water body by fixed in-situ pressure sensor
# Cycle    Date      Time    ASLVBG02   Residual   


Number  yyyy mm dd hh mi ssf        f          f
     1  2020/03/01 00:00:00     8.498      0.604  
     2  2020/03/01 00:15:00     8.077      0.663  
     3  2020/03/01 00:30:00     7.592      0.668  
     4  2020/03/01 00:45:00     7.082      0.651  
     5  2020/03/01 01:00:00     6.605      0.666  
     6  2020/03/01 01:15:00     6.113      0.659  
     7  2020/03/01 01:30:00     5.584      0.604  
     8  2020/03/01 01:45:00     5.132      0.608  
     9  2020/03/01 02:00:00     4.698      0.606  
    10  2020/03/01 02:15:00     4.336      0.642  
    11  2020/03/01 02:30:00     3.969      0.634  
    12  2020/03/01 02:45:00     3.658      0.637  
    13  2020/03/01 03:00:00     3.400      0.643  
    14  2020/03/01 03:15:00     3.168      0.621  
    15  2020/03/01 03:30:00     2.994      0.599  
    16  2020/03/01 03:45:00     2.837      0.530  
    17  2020/03/01 04:00:00     2.708      0.418  
    18  2020/03/01 04:15:00     2.722      0.375  
    19  2020/03/01 04:30:00     2.885      0.403  
    20  2020/03/01 04:45:00     3.109      0.418  
    21  2020/03/01 05:00:00     3.346      0.380  
    22  2020/03/01 05:15:00     3.598      0.303  
    23  2020/03/01 05:30:00     3.834      0.172  
    24  2020/03/01 05:45:00     4.225      0.172  
    25  2020/03/01 06:00:00     4.534      0.078  
    26  2020/03/01 06:15:00     4.967      0.102  
    27  2020/03/01 06:30:00     5.408      0.131  
    28  2020/03/01 06:45:00     5.838      0.146  
    29  2020/03/01 07:00:00     6.330      0.220  
    30  2020/03/01 07:15:00     6.773      0.242  
    31  2020/03/01 07:30:00     7.186      0.234  
    32  2020/03/01 07:45:00     7.609      0.241  
    33  2020/03/01 08:00:00     8.061      0.289  
    34  2020/03/01 08:15:00     8.488      0.329  
    35  2020/03/01 08:30:00     8.924      0.404  
    36  2020/03/01 08:45:00     9.306      0.454  
    37  2020/03/01 09:00:00     9.599      0.451  
    38  2020/03/01 09:15:00     9.859      0.456  
    39  2020/03/01 09:30:00    10.097      0.484  
    40  2020/03/01 09:45:00    10.282      0.511  
    41  2020/03/01 10:00:00    10.426      0.554  
    42  2020/03/01 10:15:00    10.455      0.545  
    43  2020/03/01 10:30:00    10.425      0.543  
    44  2020/03/01 10:45:00    10.307      0.521  
    45  2020/03/01 11:00:00    10.154      0.533  
    46  2020/03/01 11:15:00     9.851      0.461  
    47  2020/03/01 11:30:00     9.564      0.465  
    48  2020/03/01 11:45:00     9.197      0.442  
    49  2020/03/01 12:00:00     8.800      0.431  
    50  2020/03/01 12:15:00     8.392      0.441  
    51  2020/03/01 12:30:00     7.914      0.404  
    52  2020/03/01 12:45:00     7.449      0.395  
    53  2020/03/01 13:00:00     6.985      0.394  
    54  2020/03/01 13:15:00     6.513      0.388  
    55  2020/03/01 13:30:00     6.037      0.376  
    56  2020/03/01 13:45:00     5.550      0.346  
    57  2020/03/01 14:00:00     5.101      0.340  
    58  2020/03/01 14:15:00     4.682      0.344  
    59  2020/03/01 14:30:00     4.300      0.357  
    60  2020/03/01 14:45:00     3.926      0.342  
    61  2020/03/01 15:00:00     3.544      0.276  
    62  2020/03/01 15:15:00     3.243      0.243  
    63  2020/03/01 15:30:00     3.019      0.235  
    64  2020/03/01 15:45:00     2.874      0.250  
    65  2020/03/01 16:00:00     2.799      0.273  
    66  2020/03/01 16:15:00     2.848      0.353  
    67  2020/03/01 16:30:00     2.904      0.370  
    68  2020/03/01 16:45:00     2.962      0.315  
    69  2020/03/01 17:00:00     3.132      0.302  
    70  2020/03/01 17:15:00     3.349      0.272  
    71  2020/03/01 17:30:00     3.560      0.183  
    72  2020/03/01 17:45:00     3.837      0.120  
    73  2020/03/01 18:00:00     4.176      0.093  
    74  2020/03/01 18:15:00     4.533      0.068  
    75  2020/03/01 18:30:00     4.937      0.080  
    76  2020/03/01 18:45:00     5.375      0.122  
    77  2020/03/01 19:00:00     5.835      0.180  
    78  2020/03/01 19:15:00     6.265      0.204  
    79  2020/03/01 19:30:00     6.706      0.235  
    80  2020/03/01 19:45:00     7.114      0.234  
    81  2020/03/01 20:00:00     7.551      0.267  
    82  2020/03/01 20:15:00     7.992      0.316  
    83  2020/03/01 20:30:00     8.392      0.343  
    84  2020/03/01 20:45:00     8.784      0.389  
    85  2020/03/01 21:00:00     9.134      0.426  
    86  2020/03/01 21:15:00     9.454      0.470  
    87  2020/03/01 21:30:00     9.732      0.515  
    88  2020/03/01 21:45:00     9.937      0.534  
    89  2020/03/01 22:00:00    10.092      0.555  
    90  2020/03/01 22:15:00    10.175      0.561  
    91  2020/03/01 22:30:00    10.188      0.558  
    92  2020/03/01 22:45:00    10.131      0.547  
    93  2020/03/01 23:00:00    10.004      0.530  
    94  2020/03/01 23:15:00     9.803      0.503  
    95  2020/03/01 23:30:00     9.542      0.476  
    96  2020/03/01 23:45:00     9.233      0.457  
    97  2020/03/02 00:00:00     8.887      0.448  
    98  2020/03/02 00:15:00     8.498      0.434  
    99  2020/03/02 00:30:00     8.066      0.406  
   100  2020/03/02 00:45:00     7.617      0.380  
   101  2020/03/02 01:00:00     7.156      0.353  
   102  2020/03/02 01:15:00     6.679      0.314  
   103  2020/03/02 01:30:00     6.205      0.276  
   104  2020/03/02 01:45:00     5.727      0.228  
   105  2020/03/02 02:00:00     5.263      0.184  
   106  2020/03/02 02:15:00     4.820      0.145  
   107  2020/03/02 02:30:00     4.412      0.119  
   108  2020/03/02 02:45:00     4.047      0.106  
   109  2020/03/02 03:00:00     3.709      0.083  
   110  2020/03/02 03:15:00     3.427      0.074  
   111  2020/03/02 03:30:00     3.197      0.069  
   112  2020/03/02 03:45:00     3.022      0.068  
   113  2020/03/02 04:00:00     2.920      0.085  
   114  2020/03/02 04:15:00     2.903      0.129  
   115  2020/03/02 04:30:00     2.960      0.186  
   116  2020/03/02 04:45:00     3.061      0.224  
   117  2020/03/02 05:00:00     3.212      0.248  
   118  2020/03/02 05:15:00     3.403      0.251  
   119  2020/03/02 05:30:00     3.634      0.239  
   120  2020/03/02 05:45:00     3.903      0.220  
   121  2020/03/02 06:00:00     4.216      0.213  
   122  2020/03/02 06:15:00     4.567      0.223  
   123  2020/03/02 06:30:00     4.929      0.233  
   124  2020/03/02 06:45:00     5.317      0.265  
   125  2020/03/02 07:00:00     5.726      0.318  
   126  2020/03/02 07:15:00     6.129      0.364  
   127  2020/03/02 07:30:00     6.529      0.407  
   128  2020/03/02 07:45:00     6.919      0.440  
   129  2020/03/02 08:00:00     7.312      0.477  
   130  2020/03/02 08:15:00     7.695      0.511  
   131  2020/03/02 08:30:00     8.063      0.539  
   132  2020/03/02 08:45:00     8.403      0.556  
   133  2020/03/02 09:00:00     8.727      0.577  
   134  2020/03/02 09:15:00     9.022      0.596  
   135  2020/03/02 09:30:00     9.284      0.611  
   136  2020/03/02 09:45:00     9.505      0.618  
   137  2020/03/02 10:00:00     9.682      0.619  
   138  2020/03/02 10:15:00     9.780      0.582  
   139  2020/03/02 10:30:00     9.892      0.605  
   140  2020/03/02 10:45:00     9.919      0.591  
   141  2020/03/02 11:00:00     9.879      0.562  
   142  2020/03/02 11:15:00     9.778      0.527  
   143  2020/03/02 11:30:00     9.611      0.480  
   144  2020/03/02 11:45:00     9.405      0.449  
   145  2020/03/02 12:00:00     9.151      0.421  
   146  2020/03/02 12:15:00     8.859      0.402  
   147  2020/03/02 12:30:00     8.515      0.372  
   148  2020/03/02 12:45:00     8.144      0.347  
   149  2020/03/02 13:00:00     7.755      0.330  
   150  2020/03/02 13:15:00     7.341      0.305  
   151  2020/03/02 13:30:00     6.915      0.279  
   152  2020/03/02 13:45:00     6.479      0.248  
   153  2020/03/02 14:00:00     6.034      0.209  
   154  2020/03/02 14:15:00     5.603      0.181  
   155  2020/03/02 14:30:00     5.191      0.162  
   156  2020/03/02 14:45:00     4.795      0.143  
   157  2020/03/02 15:00:00     4.429      0.131  
   158  2020/03/02 15:15:00     4.083      0.108  
   159  2020/03/02 15:30:00     3.797      0.108  
   160  2020/03/02 15:45:00     3.533      0.086  
   161  2020/03/02 16:00:00     3.319      0.067  
   162  2020/03/02 16:15:00     3.215      0.105  
   163  2020/03/02 16:30:00     3.151      0.129  
   164  2020/03/02 16:45:00     3.171      0.181  
   165  2020/03/02 17:00:00     3.260      0.242  
   166  2020/03/02 17:15:00     3.381      0.276  
   167  2020/03/02 17:30:00     3.515      0.265  
   168  2020/03/02 17:45:00     3.706      0.259  
   169  2020/03/02 18:00:00     3.921      0.233  
   170  2020/03/02 18:15:00     4.187      0.222  
   171  2020/03/02 18:30:00     4.479      0.213  
