# Port:              P074
# Site:              St. Helier(Jersey)
# Latitude:          49.18333
# Longitude:         -2.11667
# Start Date:        01FEB2020-00.00.00
# End Date:          29FEB2020-23.45.00
# Contributor:       National Oceanography Centre, Liverpool
# Datum information: The data refer to Admiralty Chart Datum (ACD)
# Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
# Cycle    Date      Time    ASLVBG02   Residual  


Number  yyyy mm dd hh mi ssf        f          f 
     1  2020/02/01 00:00:00     7.903      0.136  
     2  2020/02/01 00:15:00     7.628      0.140  
     3  2020/02/01 00:30:00     7.321      0.128  
     4  2020/02/01 00:45:00     6.999      0.112  
     5  2020/02/01 01:00:00     6.679      0.105  
     6  2020/02/01 01:15:00     6.390      0.131  
     7  2020/02/01 01:30:00     6.069      0.122  
     8  2020/02/01 01:45:00     5.733      0.090  
     9  2020/02/01 02:00:00     5.471      0.123  
    10  2020/02/01 02:15:00     5.190      0.124  
    11  2020/02/01 02:30:00     4.937      0.139  
    12  2020/02/01 02:45:00     4.674      0.125  
    13  2020/02/01 03:00:00     4.443      0.123  
    14  2020/02/01 03:15:00     4.231      0.117  
    15  2020/02/01 03:30:00     4.031      0.095  
    16  2020/02/01 03:45:00     3.898      0.111  
    17  2020/02/01 04:00:00     3.789      0.120  
    18  2020/02/01 04:15:00     3.721      0.135  
    19  2020/02/01 04:30:00     3.665      0.129  
    20  2020/02/01 04:45:00     3.626      0.104  
    21  2020/02/01 05:00:00     3.666      0.121  
    22  2020/02/01 05:15:00     3.736      0.129  
    23  2020/02/01 05:30:00     3.826      0.117  
    24  2020/02/01 05:45:00     3.975      0.122  
    25  2020/02/01 06:00:00     4.159      0.121  
    26  2020/02/01 06:15:00     4.393      0.130  
    27  2020/02/01 06:30:00     4.670      0.146  
    28  2020/02/01 06:45:00     4.969      0.150  
    29  2020/02/01 07:00:00     5.311      0.171  
    30  2020/02/01 07:15:00     5.664      0.180  
    31  2020/02/01 07:30:00     6.034      0.191  
    32  2020/02/01 07:45:00     6.426      0.216  
    33  2020/02/01 08:00:00     6.832      0.253  
    34  2020/02/01 08:15:00     7.198      0.258  
    35  2020/02/01 08:30:00     7.539      0.253  
    36  2020/02/01 08:45:00     7.848      0.242  
    37  2020/02/01 09:00:00     8.154      0.260  
    38  2020/02/01 09:15:00     8.399      0.257  
    39  2020/02/01 09:30:00     8.644      0.297  
    40  2020/02/01 09:45:00     8.794      0.288  
    41  2020/02/01 10:00:00     8.920      0.303  
    42  2020/02/01 10:15:00     8.963      0.283  
    43  2020/02/01 10:30:00     8.977      0.279  
    44  2020/02/01 10:45:00     8.972      0.301  
    45  2020/02/01 11:00:00     8.880      0.278  
    46  2020/02/01 11:15:00     8.791      0.298  
    47  2020/02/01 11:30:00     8.623      0.273  
    48  2020/02/01 11:45:00     8.440      0.266  
    49  2020/02/01 12:00:00     8.260      0.289  
    50  2020/02/01 12:15:00     8.010      0.265  
    51  2020/02/01 12:30:00     7.759      0.261  
    52  2020/02/01 12:45:00     7.487      0.253  
    53  2020/02/01 13:00:00     7.199      0.241  
    54  2020/02/01 13:15:00     6.922      0.249  
    55  2020/02/01 13:30:00     6.613      0.230  
    56  2020/02/01 13:45:00     6.322      0.229  
    57  2020/02/01 14:00:00     6.023      0.218  
    58  2020/02/01 14:15:00     5.721      0.197  
    59  2020/02/01 14:30:00     5.429      0.178  
    60  2020/02/01 14:45:00     5.166      0.177  
    61  2020/02/01 15:00:00     4.915      0.173  
    62  2020/02/01 15:15:00     4.663      0.152  
    63  2020/02/01 15:30:00     4.440      0.140  
    64  2020/02/01 15:45:00     4.232      0.120  
    65  2020/02/01 16:00:00     4.055      0.104  
    66  2020/02/01 16:15:00     3.923      0.104  
    67  2020/02/01 16:30:00     3.790      0.072  
    68  2020/02/01 16:45:00     3.713      0.064  
    69  2020/02/01 17:00:00     3.657      0.044  
    70  2020/02/01 17:15:00     3.643      0.031  
    71  2020/02/01 17:30:00     3.694      0.048  
    72  2020/02/01 17:45:00     3.750      0.032  
    73  2020/02/01 18:00:00     3.851      0.022  
    74  2020/02/01 18:15:00     3.999      0.020  
    75  2020/02/01 18:30:00     4.173      0.005  
    76  2020/02/01 18:45:00     4.422      0.029  
    77  2020/02/01 19:00:00     4.693      0.043  
    78  2020/02/01 19:15:00     4.982      0.047  
    79  2020/02/01 19:30:00     5.298      0.054  
    80  2020/02/01 19:45:00     5.627      0.057  
    81  2020/02/01 20:00:00     5.969      0.061  
    82  2020/02/01 20:15:00     6.323      0.072  
    83  2020/02/01 20:30:00     6.672      0.081  
    84  2020/02/01 20:45:00     7.002      0.083  
    85  2020/02/01 21:00:00     7.322      0.094  
    86  2020/02/01 21:15:00     7.605      0.096  
    87  2020/02/01 21:30:00     7.846      0.090  
    88  2020/02/01 21:45:00     8.054      0.089  
    89  2020/02/01 22:00:00     8.251      0.119  
    90  2020/02/01 22:15:00     8.381      0.126  
    91  2020/02/01 22:30:00     8.459      0.125  
    92  2020/02/01 22:45:00     8.480      0.110  
    93  2020/02/01 23:00:00     8.494      0.131  
    94  2020/02/01 23:15:00     8.449      0.132  
    95  2020/02/01 23:30:00     8.386      0.153  
    96  2020/02/01 23:45:00     8.266      0.151  
    97  2020/02/02 00:00:00     8.123      0.156  
    98  2020/02/02 00:15:00     7.967      0.174  
    99  2020/02/02 00:30:00     7.753      0.156  
   100  2020/02/02 00:45:00     7.556      0.174  
   101  2020/02/02 01:00:00     7.328      0.175  
   102  2020/02/02 01:15:00     7.089      0.178  
   103  2020/02/02 01:30:00     6.817      0.155  
   104  2020/02/02 01:45:00     6.594      0.185  
   105  2020/02/02 02:00:00     6.317      0.162  
   106  2020/02/02 02:15:00     6.055      0.151  
   107  2020/02/02 02:30:00     5.833      0.174  
   108  2020/02/02 02:45:00     5.592      0.169  
   109  2020/02/02 03:00:00     5.356      0.159  
   110  2020/02/02 03:15:00     5.151      0.168  
   111  2020/02/02 03:30:00     4.945      0.162  
   112  2020/02/02 03:45:00     4.760      0.159  
   113  2020/02/02 04:00:00     4.613      0.174  
   114  2020/02/02 04:15:00     4.482      0.183  
   115  2020/02/02 04:30:00     4.372      0.187  
   116  2020/02/02 04:45:00     4.301      0.203  
   117  2020/02/02 05:00:00     4.272      0.234  
   118  2020/02/02 05:15:00     4.285      0.278  
   119  2020/02/02 05:30:00     4.305      0.300  
   120  2020/02/02 05:45:00     4.356      0.323  
   121  2020/02/02 06:00:00     4.423      0.330  
   122  2020/02/02 06:15:00     4.530      0.344  
   123  2020/02/02 06:30:00     4.694      0.382  
   124  2020/02/02 06:45:00     4.846      0.375  
   125  2020/02/02 07:00:00     5.041      0.380  
   126  2020/02/02 07:15:00     5.247      0.367  
   127  2020/02/02 07:30:00     5.503      0.379  
   128  2020/02/02 07:45:00     5.785      0.396  
   129  2020/02/02 08:00:00     6.044      0.375  
   130  2020/02/02 08:15:00     6.350      0.390  
   131  2020/02/02 08:30:00     6.595      0.340  
   132  2020/02/02 08:45:00     6.871      0.322  
   133  2020/02/02 09:00:00     7.114      0.279  
   134  2020/02/02 09:15:00     7.388      0.282  
   135  2020/02/02 09:30:00     7.587      0.232  
   136  2020/02/02 09:45:00     7.776      0.201  
   137  2020/02/02 10:00:00     7.942      0.178  
   138  2020/02/02 10:15:00     8.077      0.158  
   139  2020/02/02 10:30:00     8.195      0.159  
   140  2020/02/02 10:45:00     8.259      0.142  
   141  2020/02/02 11:00:00     8.313      0.151  
   142  2020/02/02 11:15:00     8.325      0.155  
   143  2020/02/02 11:30:00     8.266      0.121  
   144  2020/02/02 11:45:00     8.227      0.140  
   145  2020/02/02 12:00:00     8.105      0.105  
   146  2020/02/02 12:15:00     8.016      0.131  
   147  2020/02/02 12:30:00     7.892      0.145  
   148  2020/02/02 12:45:00     7.717      0.129  
   149  2020/02/02 13:00:00     7.524      0.114  
   150  2020/02/02 13:15:00     7.316      0.100  
   151  2020/02/02 13:30:00     7.115      0.106  
   152  2020/02/02 13:45:00     6.901      0.109  
   153  2020/02/02 14:00:00     6.671      0.105  
   154  2020/02/02 14:15:00     6.418      0.082  
   155  2020/02/02 14:30:00     6.158      0.053  
   156  2020/02/02 14:45:00     5.929      0.055  
   157  2020/02/02 15:00:00     5.722      0.074  
   158  2020/02/02 15:15:00     5.473      0.046  
   159  2020/02/02 15:30:00     5.252      0.038  
   160  2020/02/02 15:45:00     5.041      0.030  
   161  2020/02/02 16:00:00     4.856      0.035  
   162  2020/02/02 16:15:00     4.682      0.035  
   163  2020/02/02 16:30:00     4.501      0.009  
   164  2020/02/02 16:45:00     4.371      0.012  
   165  2020/02/02 17:00:00     4.272      0.023  
   166  2020/02/02 17:15:00     4.181      0.016  
   167  2020/02/02 17:30:00     4.132      0.026  
   168  2020/02/02 17:45:00     4.081      0.007  
